"#","Name","Type","VLAN","LLDP / CDP","Link","Current traffic","Total bytes","RSTP","Mirror"
"1","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"2","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"3","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"4","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"5","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"6","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"7","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"8","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"9","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"10","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"11","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"12","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"13","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"14","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"15","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"16","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"17","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"18","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"19","","Access","50","—","Auto negotiate","— sent, — received","—","Enabled",""
"20","","Access","50","—","Auto negotiate","— sent, — received","—","Enabled",""
"21","","Access","50","—","Auto negotiate","— sent, — received","—","Enabled",""
"22","","Access","50","—","Auto negotiate","— sent, — received","—","Enabled",""
"23","","Access","50","—","Auto negotiate","— sent, — received","—","Enabled",""
"24","","Access","50","—","Auto negotiate","— sent, — received","—","Enabled",""
"25","","Access","50","—","Auto negotiate","— sent, — received","—","Enabled",""
"26","","Access","50","—","Auto negotiate","— sent, — received","—","Enabled",""
"27","","Access","50","—","Auto negotiate","— sent, — received","—","Enabled",""
"28","","Access","50","—","Auto negotiate","— sent, — received","—","Enabled",""
"29","","Access","50","—","Auto negotiate","— sent, — received","—","Enabled",""
"30","","Access","50","—","Auto negotiate","— sent, — received","—","Enabled",""
"31","","Access","309","—","Auto negotiate","— sent, — received","—","Enabled",""
"32","","Access","309","—","Auto negotiate","— sent, — received","—","Enabled",""
"33","","Access","309","—","Auto negotiate","— sent, — received","—","Enabled",""
"34","","Access","309","—","Auto negotiate","— sent, — received","—","Enabled",""
"35","","Access","310","—","Auto negotiate","— sent, — received","—","Enabled",""
"36","","Access","310","—","Auto negotiate","— sent, — received","—","Enabled",""
"37","","Access","501","—","Auto negotiate","— sent, — received","—","Enabled",""
"38","","Access","501","—","Auto negotiate","— sent, — received","—","Enabled",""
"39","","Access","501","—","Auto negotiate","— sent, — received","—","Enabled",""
"40","","Access","501","—","Auto negotiate","— sent, — received","—","Enabled",""
"41","","Access","501","—","Auto negotiate","— sent, — received","—","Enabled",""
"42","","Access","501","—","Auto negotiate","— sent, — received","—","Enabled",""
"43","","Access","501","—","Auto negotiate","— sent, — received","—","Enabled",""
"44","","Access","501","—","Auto negotiate","— sent, — received","—","Enabled",""
"45","","Access","501","—","Auto negotiate","— sent, — received","—","Enabled",""
"46","","Access","501","—","Auto negotiate","— sent, — received","—","Enabled",""

