"#","Name","Type","VLAN","LLDP / CDP","Link","Current traffic","Total bytes","RSTP","Mirror"
"1","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"2","PC-Reception","Access","50","—","Auto negotiate","— sent, — received","—","Forwarding",""
"3","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"4","IP-Phone","Access","50","—","Auto negotiate","— sent, — received","—","Forwarding",""
"5","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"6","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"7","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"8","PC-Desk1","Access","50","—","Auto negotiate","— sent, — received","—","Forwarding",""
"9","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"10","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"11","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"12","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"13","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"14","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"15","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"16","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"17","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"18","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"19","","Access","309","—","Auto negotiate","— sent, — received","—","Enabled",""
"20","","Access","309","—","Auto negotiate","— sent, — received","—","Enabled",""
"21","","Access","309","—","Auto negotiate","— sent, — received","—","Enabled",""
"22","","Access","309","—","Auto negotiate","— sent, — received","—","Enabled",""
"23","","Access","309","—","Auto negotiate","— sent, — received","—","Enabled",""
"24","","Access","309","—","Auto negotiate","— sent, — received","—","Enabled",""
"25","","Access","501","—","Auto negotiate","— sent, — received","—","Forwarding",""
"26","","Access","501","—","Auto negotiate","— sent, — received","—","Forwarding",""
"27","","Access","501","—","Auto negotiate","— sent, — received","—","Forwarding",""
"28","","Access","501","—","Auto negotiate","— sent, — received","—","Forwarding",""
"29","","Access","501","—","Auto negotiate","— sent, — received","—","Forwarding",""
"30","","Access","501","—","Auto negotiate","— sent, — received","—","Forwarding",""
"31","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"32","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"33","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"34","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"35","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"36","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"37","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"38","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"39","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"40","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"41","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"42","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"43","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"44","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"45","Trunk-AP","Trunk","1","—","Auto negotiate","— sent, — received","—","Forwarding",""
"46","Trunk-AP","Trunk","1","—","Auto negotiate","— sent, — received","—","Forwarding",""
"47","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"48","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"49","Uplink-1","Access","1","—","Auto negotiate","— sent, — received","—","Forwarding",""
"50","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"51","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"52","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"Dedicated stack port 1","","","","","","","","",""
"Dedicated stack port 2","","","","","","","","",""
